Player,No,Pos,DOB/Age,Caps,Club,Country,ClubCountry,Year,Gols
Édgar Benítez,10,4FW,(1987-11-08)8 November 1987 (aged 22),12,Pachuca,Paraguay,Mexico,2010,0
Jonathan Santana,11,3MF,(1981-10-19)19 October 1981 (aged 28),21,VfL Wolfsburg,Paraguay,Germany,2010,0
Diego Barreto,12,1GK,(1981-07-16)16 July 1981 (aged 28),2,Cerro Porteño,Paraguay,Paraguay,2010,0
Enrique Vera,13,3MF,(1979-03-10)10 March 1979 (aged 31),25,LDU Quito,Paraguay,Ecuador,2010,0
Paulo da Silva,14,2DF,(1980-02-01)1 February 1980 (aged 30),67,Sunderland,Paraguay,England,2010,0
Víctor Cáceres,15,3MF,(1985-03-25)25 March 1985 (aged 25),25,Libertad,Paraguay,Paraguay,2010,0
Cristian Riveros,16,3MF,(1982-10-16)16 October 1982 (aged 27),45,Cruz Azul,Paraguay,Mexico,2010,0
Aureliano Torres,17,2DF,(1982-06-16)16 June 1982 (aged 27),25,San Lorenzo,Paraguay,Argentina,2010,0
Nelson Valdez,18,4FW,(1983-11-28)28 November 1983 (aged 26),38,Borussia Dortmund,Paraguay,Germany,2010,0
Lucas Barrios,19,4FW,(1984-11-13)13 November 1984 (aged 25),3,Borussia Dortmund,Paraguay,Germany,2010,0
Néstor Ortigoza,20,3MF,(1984-10-07)7 October 1984 (aged 25),3,Argentinos Juniors,Paraguay,Argentina,2010,0
Antolín Alcaraz,21,2DF,(1982-07-30)30 July 1982 (aged 27),5,Club Brugge,Paraguay,Belgium,2010,0
Aldo Bobadilla,22,1GK,(1976-04-20)20 April 1976 (aged 34),18,Independiente Medellín,Paraguay,Colombia,2010,0
Rodolfo Gamarra,23,4FW,(1988-12-10)10 December 1988 (aged 21),2,Libertad,Paraguay,Paraguay,2010,0
Ján Mucha,1,1GK,(1982-12-05)5 December 1982 (aged 27),15,Legia Warsaw,Slovakia,Poland,2010,0
Peter Pekarík,2,2DF,(1986-10-30)30 October 1986 (aged 23),21,VfL Wolfsburg,Slovakia,Germany,2010,0
Martin Škrtel,3,2DF,(1984-12-15)15 December 1984 (aged 25),39,Liverpool,Slovakia,England,2010,0
Marek Čech,4,2DF,(1983-01-26)26 January 1983 (aged 27),40,West Bromwich Albion,Slovakia,England,2010,0
Radoslav Zabavník,5,2DF,(1980-09-16)16 September 1980 (aged 29),44,Mainz 05,Slovakia,Germany,2010,0
Zdeno Štrba,6,3MF,(1976-06-09)9 June 1976 (aged 34),21,Skoda Xanthi,Slovakia,Greece,2010,0
Vladimír Weiss,7,3MF,(1989-11-30)30 November 1989 (aged 20),9,Bolton Wanderers,Slovakia,England,2010,0
Ján Kozák,8,3MF,(1980-04-22)22 April 1980 (aged 30),24,Timișoara,Slovakia,Romania,2010,0
Stanislav Šesták,9,3MF,(1982-12-16)16 December 1982 (aged 27),33,VfL Bochum,Slovakia,Germany,2010,0
Marek Sapara,10,3MF,(1982-07-31)31 July 1982 (aged 27),25,Ankaragücü,Slovakia,Turkey,2010,0
Róbert Vittek,11,4FW,(1982-04-01)1 April 1982 (aged 28),70,Ankaragücü,Slovakia,Turkey,2010,0
Dušan Perniš,12,1GK,(1984-11-28)28 November 1984 (aged 25),3,Dundee United,Slovakia,Scotland,2010,0
Filip Hološko,13,4FW,(1984-01-17)17 January 1984 (aged 26),38,Beşiktaş,Slovakia,Turkey,2010,0
Martin Jakubko,14,4FW,(1980-02-26)26 February 1980 (aged 30),24,Saturn Moscow Oblast,Slovakia,Russia,2010,0
Miroslav Stoch,15,3MF,(1989-10-19)19 October 1989 (aged 20),12,Twente,Slovakia,Netherlands,2010,0
Ján Ďurica,16,2DF,(1981-12-10)10 December 1981 (aged 28),39,Hannover 96,Slovakia,Germany,2010,0
Marek Hamšík (c),17,3MF,(1987-07-27)27 July 1987 (aged 22),32,Napoli,Slovakia,Italy,2010,0
Erik Jendrišek,18,4FW,(1986-10-26)26 October 1986 (aged 23),15,1. FC Kaiserslautern,Slovakia,Germany,2010,0
Juraj Kucka,19,3MF,(1987-02-26)26 February 1987 (aged 23),6,Sparta Prague,Slovakia,Czech Republic,2010,0
Kamil Kopúnek,20,3MF,(1984-05-18)18 May 1984 (aged 26),9,Spartak Trnava,Slovakia,Slovakia,2010,0
Kornel Saláta,21,2DF,(1985-01-04)4 January 1985 (aged 25),4,Slovan Bratislava,Slovakia,Slovakia,2010,0
Martin Petráš,22,2DF,(1979-11-02)2 November 1979 (aged 30),38,Cesena,Slovakia,Italy,2010,0
Dušan Kuciak,23,1GK,(1985-05-21)21 May 1985 (aged 25),3,Vaslui,Slovakia,Romania,2010,0
Júlio César,1,1GK,(1979-09-03)3 September 1979 (aged 30),48,Inter Milan,Brazil,Italy,2010,0
Maicon,2,2DF,(1981-07-26)26 July 1981 (aged 28),58,Inter Milan,Brazil,Italy,2010,0
Lúcio (c),3,2DF,(1978-05-08)8 May 1978 (aged 32),91,Inter Milan,Brazil,Italy,2010,0
Juan,4,2DF,(1979-02-01)1 February 1979 (aged 31),74,Roma,Brazil,Italy,2010,0
Felipe Melo,5,3MF,(1983-08-26)26 August 1983 (aged 26),18,Juventus,Brazil,Italy,2010,0
Michel Bastos,6,2DF,(1983-08-02)2 August 1983 (aged 26),5,Lyon,Brazil,France,2010,0
Elano,7,3MF,(1981-06-14)14 June 1981 (aged 28),43,Galatasaray,Brazil,Turkey,2010,0
Gilberto Silva,8,3MF,(1976-10-07)7 October 1976 (aged 33),88,Panathinaikos,Brazil,Greece,2010,0
Luís Fabiano,9,4FW,(1980-11-08)8 November 1980 (aged 29),38,Sevilla,Brazil,Spain,2010,0
Kaká,10,3MF,(1982-04-22)22 April 1982 (aged 28),78,Real Madrid,Brazil,Spain,2010,0
Robinho,11,4FW,(1984-01-25)25 January 1984 (aged 26),75,Santos,Brazil,Brazil,2010,0
Heurelho Gomes,12,1GK,(1981-02-15)15 February 1981 (aged 29),11,Tottenham Hotspur,Brazil,England,2010,0
Dani Alves,13,2DF,(1983-05-06)6 May 1983 (aged 27),35,Barcelona,Brazil,Spain,2010,0
Luisão,14,2DF,(1981-02-13)13 February 1981 (aged 29),42,Benfica,Brazil,Portugal,2010,0
Thiago Silva,15,2DF,(1984-09-22)22 September 1984 (aged 25),7,Milan,Brazil,Italy,2010,0
Gilberto,16,2DF,(1976-04-25)25 April 1976 (aged 34),33,Cruzeiro,Brazil,Brazil,2010,0
Josué,17,3MF,(1979-07-19)19 July 1979 (aged 30),27,VfL Wolfsburg,Brazil,Germany,2010,0
Ramires,18,3MF,(1987-03-24)24 March 1987 (aged 23),12,Benfica,Brazil,Portugal,2010,0
Júlio Baptista,19,3MF,(1981-10-01)1 October 1981 (aged 28),46,Roma,Brazil,Italy,2010,0
Kléberson,20,3MF,(1979-06-19)19 June 1979 (aged 30),31,Flamengo,Brazil,Brazil,2010,0
Nilmar,21,4FW,(1984-07-14)14 July 1984 (aged 25),17,Villarreal,Brazil,Spain,2010,0
Doni,22,1GK,(1979-10-22)22 October 1979 (aged 30),10,Roma,Brazil,Italy,2010,0
Grafite,23,4FW,(1979-04-02)2 April 1979 (aged 31),3,VfL Wolfsburg,Brazil,Germany,2010,0
Boubacar Barry,1,1GK,(1979-12-30)30 December 1979 (aged 30),45,Lokeren,Ivory Coast,Belgium,2010,0
Benjamin Angoua,2,2DF,(1986-11-28)28 November 1986 (aged 23),7,Valenciennes,Ivory Coast,France,2010,0
Arthur Boka,3,2DF,(1983-04-02)2 April 1983 (aged 27),54,VfB Stuttgart,Ivory Coast,Germany,2010,0
Kolo Touré,4,2DF,(1981-03-19)19 March 1981 (aged 29),76,Manchester City,Ivory Coast,England,2010,0
Didier Zokora,5,3MF,(1980-12-14)14 December 1980 (aged 29),80,Sevilla,Ivory Coast,Spain,2010,0
Steve Gohouri,6,2DF,(1981-02-08)8 February 1981 (aged 29),11,Wigan Athletic,Ivory Coast,England,2010,0
Seydou Doumbia,7,4FW,(1987-12-31)31 December 1987 (aged 22),5,Young Boys,Ivory Coast,Switzerland,2010,0
Salomon Kalou,8,4FW,(1985-08-05)5 August 1985 (aged 24),28,Chelsea,Ivory Coast,England,2010,0
Cheick Tioté,9,3MF,(1986-06-21)21 June 1986 (aged 23),8,Twente,Ivory Coast,Netherlands,2010,0
Gervinho,10,4FW,(1987-05-27)27 May 1987 (aged 23),15,Lille,Ivory Coast,France,2010,0
Didier Drogba (c),11,4FW,(1978-03-11)11 March 1978 (aged 32),68,Chelsea,Ivory Coast,England,2010,0
Jean-Jacques Gosso,12,3MF,(1983-03-15)15 March 1983 (aged 27),6,Monaco,Ivory Coast,France,2010,0
Romaric,13,3MF,(1983-06-04)4 June 1983 (aged 27),38,Sevilla,Ivory Coast,Spain,2010,0
Emmanuel Koné,14,3MF,(1986-12-31)31 December 1986 (aged 23),12,Internațional,Ivory Coast,Romania,2010,0
Aruna Dindane,15,4FW,(1980-11-26)26 November 1980 (aged 29),54,Portsmouth,Ivory Coast,England,2010,0
Aristide Zogbo,16,1GK,(1981-12-30)30 December 1981 (aged 28),6,Maccabi Netanya,Ivory Coast,Israel,2010,0
Siaka Tiéné,17,2DF,(1982-03-22)22 March 1982 (aged 28),55,Valenciennes,Ivory Coast,France,2010,0
Kader Keïta,18,3MF,(1981-08-06)6 August 1981 (aged 28),55,Galatasaray,Ivory Coast,Turkey,2010,0
Yaya Touré,19,3MF,(1983-05-13)13 May 1983 (aged 27),47,Barcelona,Ivory Coast,Spain,2010,0
Guy Demel,20,2DF,(1981-06-13)13 June 1981 (aged 28),26,Hamburger SV,Ivory Coast,Germany,2010,0
Emmanuel Eboué,21,2DF,(1983-06-04)4 June 1983 (aged 27),52,Arsenal,Ivory Coast,England,2010,0
Sol Bamba,22,2DF,(1985-01-13)13 January 1985 (aged 25),16,Hibernian,Ivory Coast,Scotland,2010,0
Daniel Yeboah,23,1GK,(1984-11-13)13 November 1984 (aged 25),4,ASEC Mimosas,Ivory Coast,Ivory Coast,2010,0
Ri Myong-guk,1,1GK,(1986-09-09)9 September 1986 (aged 23),28,Pyongyang City,North Korea,North Korea,2010,0
Cha Jong-hyok,2,2DF,(1985-09-25)25 September 1985 (aged 24),31,Amrokgang,North Korea,North Korea,2010,0
Ri Jun-il,3,2DF,(1987-08-24)24 August 1987 (aged 22),26,Sobaeksu,North Korea,North Korea,2010,0
Pak Nam-chol,4,3MF,(1985-07-02)2 July 1985 (aged 24),35,April 25,North Korea,North Korea,2010,0
Ri Kwang-chon,5,2DF,(1985-09-04)4 September 1985 (aged 24),41,April 25,North Korea,North Korea,2010,0
Kim Kum-il,6,4FW,(1987-10-10)10 October 1987 (aged 22),11,April 25,North Korea,North Korea,2010,0
An Chol-hyok,7,4FW,(1987-06-27)27 June 1987 (aged 22),16,Rimyongsu,North Korea,North Korea,2010,0
Ji Yun-nam,8,2DF,(1976-11-20)20 November 1976 (aged 33),23,April 25,North Korea,North Korea,2010,0
Jong Tae-se,9,4FW,(1984-03-02)2 March 1984 (aged 26),20,Kawasaki Frontale,North Korea,Japan,2010,0
Hong Yong-jo (c),10,4FW,(1982-05-22)22 May 1982 (aged 28),40,Rostov,North Korea,Russia,2010,0
Mun In-guk,11,3MF,(1978-09-29)29 September 1978 (aged 31),42,April 25,North Korea,North Korea,2010,0
Choe Kum-chol,12,4FW,(1987-02-09)9 February 1987 (aged 23),16,April 25,North Korea,North Korea,2010,0
Pak Chol-jin,13,2DF,(1985-09-05)5 September 1985 (aged 24),34,Amrokgang,North Korea,North Korea,2010,0
Pak Nam-Chol,14,2DF,(1988-10-03)3 October 1988 (aged 21),12,Amrokgang,North Korea,North Korea,2010,0
Kim Yong-jun,15,3MF,(1983-07-19)19 July 1983 (aged 26),52,Pyongyang City,North Korea,North Korea,2010,0
Nam Song-chol,16,2DF,(1982-05-07)7 May 1982 (aged 28),41,April 25,North Korea,North Korea,2010,0
An Yong-hak,17,3MF,(1978-10-25)25 October 1978 (aged 31),24,Omiya Ardija,North Korea,Japan,2010,0
Kim Myong-gil,18,1GK,(1984-10-16)16 October 1984 (aged 25),10,Amrokgang,North Korea,North Korea,2010,0
Ri Chol-myong,19,3MF,(1988-02-18)18 February 1988 (aged 22),10,Pyongyang City,North Korea,North Korea,2010,0
Kim Myong-won[9],20,1GK,(1983-07-15)15 July 1983 (aged 26),9,Amrokgang,North Korea,North Korea,2010,0
Ri Kwang-hyok,21,2DF,(1987-08-17)17 August 1987 (aged 22),15,Kyonggongop,North Korea,North Korea,2010,0
Kim Kyong-il,22,3MF,(1988-12-11)11 December 1988 (aged 21),7,Rimyongsu,North Korea,North Korea,2010,0
Pak Sung-hyok,23,2DF,(1990-05-30)30 May 1990 (aged 20),3,Sobaeksu,North Korea,North Korea,2010,0
Eduardo,1,1GK,(1982-09-19)19 September 1982 (aged 27),15,Braga,Portugal,Portugal,2010,0
Bruno Alves,2,2DF,(1981-11-27)27 November 1981 (aged 28),31,Porto,Portugal,Portugal,2010,0
Paulo Ferreira,3,2DF,(1979-01-18)18 January 1979 (aged 31),61,Chelsea,Portugal,England,2010,0
Rolando,4,2DF,(1985-08-31)31 August 1985 (aged 24),8,Porto,Portugal,Portugal,2010,0
Duda,5,3MF,(1980-06-27)27 June 1980 (aged 29),16,Málaga,Portugal,Spain,2010,0
Ricardo Carvalho,6,2DF,(1978-05-18)18 May 1978 (aged 32),63,Chelsea,Portugal,England,2010,0
Cristiano Ronaldo (c),7,4FW,(1985-02-05)5 February 1985 (aged 25),72,Real Madrid,Portugal,Spain,2010,0
Pedro Mendes,8,3MF,(1979-02-26)26 February 1979 (aged 31),8,Sporting CP,Portugal,Portugal,2010,0
Liédson,9,4FW,(1977-12-17)17 December 1977 (aged 32),10,Sporting CP,Portugal,Portugal,2010,0
Danny,10,3MF,(1983-08-07)7 August 1983 (aged 26),11,Zenit Saint Petersburg,Portugal,Russia,2010,0
Simão,11,3MF,(1979-10-31)31 October 1979 (aged 30),81,Atlético Madrid,Portugal,Spain,2010,0
Beto,12,1GK,(1982-05-01)1 May 1982 (aged 28),1,Porto,Portugal,Portugal,2010,0
Miguel,13,2DF,(1980-01-04)4 January 1980 (aged 30),57,Valencia,Portugal,Spain,2010,0
Miguel Veloso,14,3MF,(1986-05-11)11 May 1986 (aged 24),12,Sporting CP,Portugal,Portugal,2010,0
Pepe,15,2DF,(1983-02-26)26 February 1983 (aged 27),25,Real Madrid,Portugal,Spain,2010,0
Raul Meireles,16,3MF,(1983-03-17)17 March 1983 (aged 27),34,Porto,Portugal,Portugal,2010,0
Rúben Amorim[10],17,3MF,(1985-01-27)27 January 1985 (aged 25),0,Benfica,Portugal,Portugal,2010,0
Hugo Almeida,18,4FW,(1984-05-23)23 May 1984 (aged 26),26,Werder Bremen,Portugal,Germany,2010,0
Tiago,19,3MF,(1981-05-02)2 May 1981 (aged 29),51,Atlético Madrid,Portugal,Spain,2010,0
Deco,20,3MF,(1977-08-27)27 August 1977 (aged 32),74,Chelsea,Portugal,England,2010,0
Ricardo Costa,21,2DF,(1981-05-16)16 May 1981 (aged 29),8,Lille,Portugal,France,2010,0
Daniel Fernandes,22,1GK,(1983-09-25)25 September 1983 (aged 26),2,Iraklis,Portugal,Greece,2010,0
Fábio Coentrão,23,2DF,(1988-03-11)11 March 1988 (aged 22),4,Benfica,Portugal,Portugal,2010,0
Claudio Bravo (c),1,1GK,(1983-04-13)13 April 1983 (aged 27),41,Real Sociedad,Chile,Spain,2010,0
Ismael Fuentes,2,2DF,(1981-08-04)4 August 1981 (aged 28),25,Universidad Católica,Chile,Chile,2010,0
Waldo Ponce,3,2DF,(1982-12-04)4 December 1982 (aged 27),23,Universidad Católica,Chile,Chile,2010,0
Mauricio Isla,4,3MF,(1988-06-12)12 June 1988 (aged 21),10,Udinese,Chile,Italy,2010,0
Pablo Contreras,5,2DF,(1978-09-11)11 September 1978 (aged 31),49,PAOK,Chile,Greece,2010,0
Carlos Carmona,6,3MF,(1987-02-21)21 February 1987 (aged 23),18,Reggina,Chile,Italy,2010,0
Alexis Sánchez,7,4FW,(1988-12-19)19 December 1988 (aged 21),26,Udinese,Chile,Italy,2010,0
Arturo Vidal,8,3MF,(1987-05-22)22 May 1987 (aged 23),21,Bayer Leverkusen,Chile,Germany,2010,0
Humberto Suazo,9,4FW,(1981-05-10)10 May 1981 (aged 29),41,Zaragoza,Chile,Spain,2010,0
Jorge Valdivia,10,3MF,(1983-10-19)19 October 1983 (aged 26),36,Al Ain,Chile,United Arab Emirates,2010,0
Mark González,11,4FW,(1984-07-10)10 July 1984 (aged 25),38,CSKA Moscow,Chile,Russia,2010,0
Miguel Pinto,12,1GK,(1983-07-04)4 July 1983 (aged 26),13,Universidad de Chile,Chile,Chile,2010,0
Marco Estrada,13,3MF,(1983-05-28)28 May 1983 (aged 27),20,Universidad de Chile,Chile,Chile,2010,0
Matías Fernández,14,3MF,(1986-05-15)15 May 1986 (aged 24),35,Sporting CP,Chile,Portugal,2010,0
Jean Beausejour,15,4FW,(1984-06-01)1 June 1984 (aged 26),23,América,Chile,Mexico,2010,0
Fabián Orellana,16,4FW,(1986-01-27)27 January 1986 (aged 24),13,Xerez,Chile,Spain,2010,0
Gary Medel,17,2DF,(1987-08-03)3 August 1987 (aged 22),23,Boca Juniors,Chile,Argentina,2010,0
Gonzalo Jara,18,2DF,(1985-08-29)29 August 1985 (aged 24),31,West Bromwich Albion,Chile,England,2010,0
Gonzalo Fierro,19,3MF,(1983-03-21)21 March 1983 (aged 27),16,Flamengo,Chile,Brazil,2010,0
Rodrigo Millar,20,3MF,(1981-11-03)3 November 1981 (aged 28),19,Colo-Colo,Chile,Chile,2010,0
Rodrigo Tello,21,3MF,(1979-10-14)14 October 1979 (aged 30),32,Beşiktaş,Chile,Turkey,2010,0
Esteban Paredes,22,4FW,(1980-08-01)1 August 1980 (aged 29),12,Colo-Colo,Chile,Chile,2010,0
Luis Marín,23,1GK,(1983-05-18)18 May 1983 (aged 27),2,Unión Española,Chile,Chile,2010,0
Ricardo Canales,1,1GK,(1982-05-30)30 May 1982 (aged 28),2,Motagua,Honduras,Honduras,2010,0
Osman Chávez,2,2DF,(1984-07-29)29 July 1984 (aged 25),26,Platense,Honduras,Honduras,2010,0
Maynor Figueroa,3,2DF,(1983-05-02)2 May 1983 (aged 27),66,Wigan Athletic,Honduras,England,2010,0
Johnny Palacios,4,2DF,(1986-12-20)20 December 1986 (aged 23),4,Olimpia,Honduras,Honduras,2010,0
Víctor Bernárdez,5,2DF,(1982-05-24)24 May 1982 (aged 28),40,Anderlecht,Honduras,Belgium,2010,0
Hendry Thomas,6,3MF,(1985-02-23)23 February 1985 (aged 25),39,Wigan Athletic,Honduras,England,2010,0
Ramón Núñez,7,3MF,(1984-11-14)14 November 1984 (aged 25),16,Olimpia,Honduras,Honduras,2010,0
Wilson Palacios,8,3MF,(1984-07-29)29 July 1984 (aged 25),69,Tottenham Hotspur,Honduras,England,2010,0
Carlos Pavón,9,4FW,(1973-10-19)19 October 1973 (aged 36),98,Real España,Honduras,Honduras,2010,0
Jerry Palacios[11],10,4FW,(1982-11-01)1 November 1982 (aged 27),11,Hangzhou Greentown,Honduras,China,2010,0
David Suazo,11,4FW,(1979-11-05)5 November 1979 (aged 30),50,Genoa,Honduras,Italy,2010,0
Georgie Welcome,12,4FW,(1985-03-09)9 March 1985 (aged 25),11,Motagua,Honduras,Honduras,2010,0
Roger Espinoza,13,4FW,(1986-10-25)25 October 1986 (aged 23),10,Kansas City Wizards,Honduras,United States,2010,0
Boniek García,14,2DF,(1984-09-04)4 September 1984 (aged 25),42,Olimpia,Honduras,Honduras,2010,0
Walter Martínez,15,4FW,(1982-03-29)29 March 1982 (aged 28),34,Marathón,Honduras,Honduras,2010,0
Mauricio Sabillón,16,2DF,(1978-11-11)11 November 1978 (aged 31),25,Hangzhou Greentown,Honduras,China,2010,0
Édgar Álvarez,17,3MF,(1980-01-09)9 January 1980 (aged 30),46,Bari,Honduras,Italy,2010,0
Noel Valladares,18,1GK,(1977-05-03)3 May 1977 (aged 33),71,Olimpia,Honduras,Honduras,2010,0
Danilo Turcios,19,3MF,(1978-05-08)8 May 1978 (aged 32),82,Olimpia,Honduras,Honduras,2010,0
Amado Guevara (c),20,3MF,(1976-05-02)2 May 1976 (aged 34),133,Motagua,Honduras,Honduras,2010,0
Emilio Izaguirre,21,2DF,(1986-05-10)10 May 1986 (aged 24),39,Motagua,Honduras,Honduras,2010,0
Donis Escober,22,1GK,(1981-02-03)3 February 1981 (aged 29),11,Olimpia,Honduras,Honduras,2010,0
Sergio Mendoza,23,2DF,(1981-05-23)23 May 1981 (aged 29),46,Motagua,Honduras,Honduras,2010,0
Iker Casillas (c),1,1GK,(1981-05-20)20 May 1981 (aged 29),104,Real Madrid,Spain,Spain,2010,0
Raúl Albiol,2,2DF,(1985-09-04)4 September 1985 (aged 24),23,Real Madrid,Spain,Spain,2010,0
Gerard Piqué,3,2DF,(1987-02-02)2 February 1987 (aged 23),16,Barcelona,Spain,Spain,2010,0
Carlos Marchena,4,2DF,(1979-07-31)31 July 1979 (aged 30),59,Valencia,Spain,Spain,2010,0
Carles Puyol,5,2DF,(1978-04-13)13 April 1978 (aged 32),83,Barcelona,Spain,Spain,2010,0
Andrés Iniesta,6,3MF,(1984-05-11)11 May 1984 (aged 26),43,Barcelona,Spain,Spain,2010,0
David Villa,7,4FW,(1981-12-03)3 December 1981 (aged 28),58,Valencia[note 1],Spain,Spain,2010,0
Xavi,8,3MF,(1980-01-25)25 January 1980 (aged 30),87,Barcelona,Spain,Spain,2010,0
Fernando Torres,9,4FW,(1984-03-20)20 March 1984 (aged 26),73,Liverpool,Spain,England,2010,0
Cesc Fàbregas,10,3MF,(1987-05-04)4 May 1987 (aged 23),49,Arsenal,Spain,England,2010,0
Joan Capdevila,11,2DF,(1978-02-03)3 February 1978 (aged 32),46,Villarreal,Spain,Spain,2010,0
Víctor Valdés,12,1GK,(1982-01-14)14 January 1982 (aged 28),1,Barcelona,Spain,Spain,2010,0
Juan Mata,13,3MF,(1988-04-28)28 April 1988 (aged 22),8,Valencia,Spain,Spain,2010,0
Xabi Alonso,14,3MF,(1981-11-25)25 November 1981 (aged 28),69,Real Madrid,Spain,Spain,2010,0
Sergio Ramos,15,2DF,(1986-03-30)30 March 1986 (aged 24),60,Real Madrid,Spain,Spain,2010,0
Sergio Busquets,16,3MF,(1988-07-16)16 July 1988 (aged 21),13,Barcelona,Spain,Spain,2010,0
Álvaro Arbeloa,17,2DF,(1983-01-17)17 January 1983 (aged 27),15,Real Madrid,Spain,Spain,2010,0
Pedro,18,4FW,(1987-07-28)28 July 1987 (aged 22),3,Barcelona,Spain,Spain,2010,0
Fernando Llorente,19,4FW,(1985-02-26)26 February 1985 (aged 25),7,Athletic Bilbao,Spain,Spain,2010,0
Javi Martínez,20,3MF,(1988-09-02)2 September 1988 (aged 21),2,Athletic Bilbao,Spain,Spain,2010,0
David Silva,21,3MF,(1986-01-08)8 January 1986 (aged 24),36,Valencia,Spain,Spain,2010,0
Jesús Navas,22,3MF,(1985-11-21)21 November 1985 (aged 24),6,Sevilla,Spain,Spain,2010,0
Pepe Reina,23,1GK,(1982-08-31)31 August 1982 (aged 27),20,Liverpool,Spain,England,2010,0
Diego Benaglio,1,1GK,(1983-09-08)8 September 1983 (aged 26),27,VfL Wolfsburg,Switzerland,Germany,2010,0
Stephan Lichtsteiner,2,2DF,(1984-01-16)16 January 1984 (aged 26),28,Lazio,Switzerland,Italy,2010,0
Ludovic Magnin,3,2DF,(1979-04-20)20 April 1979 (aged 31),62,Zürich,Switzerland,Switzerland,2010,0
Philippe Senderos,4,2DF,(1985-02-14)14 February 1985 (aged 25),40,Everton,Switzerland,England,2010,0
Steve von Bergen,5,2DF,(1983-06-10)10 June 1983 (aged 27),11,Hertha BSC,Switzerland,Germany,2010,0
Benjamin Huggel,6,3MF,(1977-07-07)7 July 1977 (aged 32),38,Basel,Switzerland,Switzerland,2010,0
Tranquillo Barnetta,7,3MF,(1985-05-22)22 May 1985 (aged 25),52,Bayer Leverkusen,Switzerland,Germany,2010,0
Gökhan Inler,8,3MF,(1984-06-27)27 June 1984 (aged 25),36,Udinese,Switzerland,Italy,2010,0
Alexander Frei (c),9,4FW,(1979-07-15)15 July 1979 (aged 30),75,Basel,Switzerland,Switzerland,2010,0
Blaise Nkufo,10,4FW,(1975-05-25)25 May 1975 (aged 35),31,Twente,Switzerland,Netherlands,2010,0
Valon Behrami,11,3MF,(1985-04-19)19 April 1985 (aged 25),27,West Ham United,Switzerland,England,2010,0
Marco Wölfli,12,1GK,(1982-08-22)22 August 1982 (aged 27),5,Young Boys,Switzerland,Switzerland,2010,0
Stéphane Grichting,13,2DF,(1979-03-30)30 March 1979 (aged 31),35,Auxerre,Switzerland,France,2010,0
Marco Padalino,14,3MF,(1983-12-08)8 December 1983 (aged 26),8,Sampdoria,Switzerland,Italy,2010,0
Hakan Yakin,15,3MF,(1977-02-22)22 February 1977 (aged 33),81,Luzern,Switzerland,Switzerland,2010,0
Gélson Fernandes,16,3MF,(1986-09-02)2 September 1986 (aged 23),24,Saint-Étienne,Switzerland,France,2010,0
Reto Ziegler,17,2DF,(1986-01-16)16 January 1986 (aged 24),12,Sampdoria,Switzerland,Italy,2010,0
Albert Bunjaku,18,4FW,(1983-11-29)29 November 1983 (aged 26),3,1. FC Nürnberg,Switzerland,Germany,2010,0
Eren Derdiyok,19,4FW,(1988-06-12)12 June 1988 (aged 21),21,Bayer Leverkusen,Switzerland,Germany,2010,0
Pirmin Schwegler,20,3MF,(1987-03-09)9 March 1987 (aged 23),4,Eintracht Frankfurt,Switzerland,Germany,2010,0
Johnny Leoni,21,1GK,(1984-06-30)30 June 1984 (aged 25),0,Zürich,Switzerland,Switzerland,2010,0
Mario Eggimann,22,2DF,(1981-01-24)24 January 1981 (aged 29),8,Hannover 96,Switzerland,Germany,2010,0
Xherdan Shaqiri,23,3MF,(1991-10-10)10 October 1991 (aged 18),3,Basel,Switzerland,Switzerland,2010,0
Jefferson,1,1GK,(1983-01-02)2 January 1983 (aged 31),9,Botafogo,Brazil,Brazil,2014,0
Dani Alves,2,2DF,(1983-05-06)6 May 1983 (aged 31),75,Barcelona,Brazil,Spain,2014,0
Thiago Silva (c),3,2DF,(1984-09-22)22 September 1984 (aged 29),46,Paris Saint-Germain,Brazil,France,2014,0
David Luiz,4,2DF,(1987-04-22)22 April 1987 (aged 27),36,Chelsea[7],Brazil,England,2014,0
Fernandinho,5,3MF,(1985-05-04)4 May 1985 (aged 29),7,Manchester City,Brazil,England,2014,0
Marcelo,6,2DF,(1988-05-12)12 May 1988 (aged 26),31,Real Madrid,Brazil,Spain,2014,0
Hulk,7,4FW,(1986-07-25)25 July 1986 (aged 27),35,Zenit Saint Petersburg,Brazil,Russia,2014,0
Paulinho,8,3MF,(1988-07-25)25 July 1988 (aged 25),26,Tottenham Hotspur,Brazil,England,2014,0
Fred,9,4FW,(1983-10-03)3 October 1983 (aged 30),33,Fluminense,Brazil,Brazil,2014,0
Neymar,10,4FW,(1992-02-05)5 February 1992 (aged 22),49,Barcelona,Brazil,Spain,2014,0
Oscar,11,3MF,(1991-09-09)9 September 1991 (aged 22),31,Chelsea,Brazil,England,2014,0
Júlio César,12,1GK,(1979-09-03)3 September 1979 (aged 34),80,Toronto FC[8],Brazil,Canada,2014,0
Dante,13,2DF,(1983-10-18)18 October 1983 (aged 30),12,Bayern Munich,Brazil,Germany,2014,0
Maxwell,14,2DF,(1981-08-27)27 August 1981 (aged 32),9,Paris Saint-Germain,Brazil,France,2014,0
Henrique,15,2DF,(1986-10-14)14 October 1986 (aged 27),5,Napoli,Brazil,Italy,2014,0
